Phi;Theta;Radius;Phi2;Theta2;Radius2;PositionX;PositionY;PositionZ;PositionX2;PositionY2;PositionZ2;RotationX;RotationY;RotationZ;RotationX2;RotationY2;RotationZ2;ScaleX;ScaleY;ScaleZ;ScaleX2;ScaleY2;ScaleZ2
0;91,43569;3,991241;50;91,43569;3,991241;3,698648;1,5;0;2,377445;1,5;2,833329;358,4513;270;225;358,4513;220;270;1;1;1;1;1;1
-143,6;91,43569;3,991241;17,9;91,43569;3,99124;-2,977019;1,5;-2,194848;3,519613;1,5;1,136804;358,4513;53,60001;90;358,4513;252,1;45;1;1;1;1;1;1
97,60001;91,43569;3,99124;85,2;91,43569;3,991241;-0,48917;1,5;3,666158;0,309495;1,5;3,685677;358,4513;172,4;45;358,4513;184,8;-6,672544E-09;1;1;1;1;1;1
-70,89998;91,43569;3,991241;174,9;91,43569;3,991241;1,210265;1,5;-3,495033;-3,684006;1,5;0,3287888;358,4513;340,9;270;358,4513;95,10001;225;1;1;1;1;1;1
-36,39998;91,43569;3,99124;77,3;91,43569;3,99124;2,97702;1,5;-2,194847;0,8131336;1,5;3,608159;358,4513;306,4;135;358,4513;192,7;0;1;1;1;1;1;1
58,8;91,43569;3,991241;-130;91,43569;3,991241;1,916;1,5;3,163692;-2,377445;1,5;-2,833329;358,4513;211,2;0;358,4513;39,99999;225;1;1;1;1;1;1
21,2;91,43569;3,991241;-15,2;91,43569;3,99124;3,448338;1,5;1,337522;3,569257;1,5;-0,9697457;358,4513;248,8;180;358,4513;285,2;315;1;1;1;1;1;1
-124,3;91,43569;3,99124;-128,5;91,43569;3,99124;-2,084285;1,5;-3,055447;-2,302463;1,5;-2,894592;358,4513;34,30001;225;358,4513;38,5;180;1;1;1;1;1;1
134,3914;91,4355;3,991777;152,1;91,43569;3,99124;-2,587818;1,499999;2,643385;-3,268739;1,5;1,730707;358,4515;135,6086;180;358,4513;117,9;90;1;1;1;1;1;1
