Phi;Theta;Radius;Phi2;Theta2;Radius2;PositionX;PositionY;PositionZ;PositionX2;PositionY2;PositionZ2;RotationX;RotationY;RotationZ;RotationX2;RotationY2;RotationZ2;ScaleX;ScaleY;ScaleZ;ScaleX2;ScaleY2;ScaleZ2
-40;91,43569;3,991241;40;91,43569;3,991241;2,833329;1,5;-2,377445;2,833329;1,5;2,377445;358,4513;310;90;358,4513;230;5,338034E-08;1;1;1;1;1;1
-70;91,43569;3,991241;10;91,43569;3,99124;1,265012;1,5;-3,475593;3,642457;1,5;0,6422636;358,4513;340;135;358,4513;260;135;1;1;1;1;1;1
-90;91,43569;3,991241;-14,18594;91,43563;3,991424;-1,616731E-07;1,5;-3,698648;3,586052;1,499999;-0,9064744;358,4513;2,562257E-06;270;358,4514;284,1859;270;1;1;1;1;1;1
-130;91,43569;3,991241;-50,09639;91,42162;4,030745;-2,377445;1,5;-2,833329;2,4;1,5;-2,87;358,4513;40;180;358,4515;311,5459;180;1;1;1;1;1;1
-150;91,43569;3,991241;-103,4908;91,43552;3,991726;-3,203123;1,5;-1,849324;-0,8629749;1,5;-3,597103;358,4513;60;45;358,4515;13,49076;225;1;1;1;1;1;1
-170;91,43569;3,991241;140;91,43569;3,991241;-3,642458;1,5;-0,6422631;-2,833329;1,5;2,377445;358,4513;80,00002;315;358,4513;130;315;1;1;1;1;1;1
87,18201;91,43562;3,991495;57,79946;91,42386;4,024388;0,1818511;1,499999;3,69445;1,99;1,5;3,16;358,4514;182,818;270;358,4513;220;315;1;1;1;1;1;1
156;91,43569;3,991241;83;91,43569;3,99124;-3,378884;1,5;1,504376;0,4507518;1,5;3,671079;358,4513;114;135;358,4513;187;45;1;1;1;1;1;1
167,9159;91,43563;3,991453;109,4015;91,43556;3,991603;-3,616915;1,499999;0,7743525;-1,228769;1,5;3,488985;358,4514;102,0842;1,601411E-07;358,4514;160,5985;90;1;1;1;1;1;1
