Phi;Theta;Radius;Phi2;Theta2;Radius2;PositionX;PositionY;PositionZ;PositionX2;PositionY2;PositionZ2;RotationX;RotationY;RotationZ;RotationX2;RotationY2;RotationZ2;ScaleX;ScaleY;ScaleZ;ScaleX2;ScaleY2;ScaleZ2
23,9196;79,13829;4,776076;47,45495;91,43544;3,99196;3,72;2,5;1,65;2,501439;1,499999;2,725536;12,47063;246,0804;180;358,4516;222,545;90;1;1;1;1;1;1
-18,72579;78,45483;4,496843;-9,008504;94,38824;3,920839;3,54;2,5;-1,2;3,653423;1,3;-0,5792012;13,53796;288,7258;-3,556603E-05;358,4514;279,0085;-5,338034E-08;1;1;1;1;1;1
-77,68694;91,43558;3,991567;-47,42544;91,38899;4,125397;0,7888232;1,499999;-3,613913;2,6;1,5;-2,83;358,4514;347,687;270;358,4515;301,8754;90;1;1;1;1;1;1
-9,108493;100,5196;3,834123;24,29995;100,7393;3,756564;3,68;0,9;-0,59;3,324035;0,8999994;1,500856;349,3627;279,1085;180;349,1353;245,7;270;1;1;1;1;1;1
-38,57547;80,69375;4,328694;-2,786183;87,21124;4,110681;2,86689;2,3;-2,286599;3,691264;1,8;-0,1796406;10,807;308,5755;90;3,097709;272,7862;180;1;1;1;1;1;1
34,96768;97,49659;3,832382;61,53044;79,42127;4,35762;3,008396;1,1;2,103974;1,733799;2,4;3,19731;352,2441;235,0323;180;12,40482;208,4696;270;1;1;1;1;1;1
0;80,16737;4,333296;15,84858;97,50104;3,830122;3,647171;2,34;0;3,529303;1,1;1,001925;11,46944;270;0;352,2392;254,1514;0;1;1;1;1;1;1
-64,65382;91,43562;3,991458;-26,94395;91,43555;3,991612;1,583441;1,5;-3,342821;3,297518;1,5;-1,676108;358,4514;334,6538;90;358,4514;296,9439;180;1;1;1;1;1;1
18,25515;97,49561;3,832889;43,09063;76,01361;4,55126;3,486862;1,099999;1,150142;2,675631;2,7;2,502991;352,2452;251,7448;270;9,300261;226,9094;270;1;1;1;1;1;1
